ticker,signal,signal_age,category,score,score_smoothed,combo_score,active_combos,price,atr_pct,swing_target,swing_stop,ma60,pct_from_ma60,rsi,macd_hist,adx,vol_ratio,bb_squeeze,obv_new_high,near_52w_high,consolidation,perf_30d,last_date
COP,ABOVE_MA60,99,🟡 MITTEL,41.2,41.2,15,📊 FULL MOMENTUM,121.89,2.91,128.99,116.56,103.4,17.88,70.4,0.1795,32.2,1.07,False,True,True,False,17.85,2026-03-13
MGM,RECENT_CROSS,2,🟡 MITTEL,40.9,40.9,0,,36.68,4.35,39.87,34.29,35.66,2.87,53.9,-0.0027,15.8,0.74,False,True,False,False,9.36,2026-03-13
DVN,ABOVE_MA60,99,🟡 MITTEL,40.3,40.3,15,📊 FULL MOMENTUM,46.25,3.09,49.11,44.1,40.12,15.28,66.0,0.0429,28.5,0.88,False,True,True,False,15.62,2026-03-13
CTRA,ABOVE_MA60,99,🟡 MITTEL,40.0,40.0,15,📊 FULL MOMENTUM,32.15,3.1,34.15,30.65,28.2,13.99,64.1,0.0063,26.7,1.1,False,True,True,False,12.25,2026-03-13
AWK,ABOVE_MA60,99,🟡 MITTEL,37.6,37.6,15,📊 FULL MOMENTUM,139.69,2.54,146.8,134.36,130.61,6.95,63.3,0.2708,24.6,0.56,False,True,True,False,8.91,2026-03-13
MOS,RECENT_CROSS,2,🟡 MITTEL,37.5,37.5,0,,29.31,5.68,32.64,26.81,26.92,8.88,56.0,0.2598,29.5,1.92,False,False,False,False,7.48,2026-03-13
APA,ABOVE_MA60,99,🟡 MITTEL,37.2,37.2,0,,34.47,4.29,37.43,32.25,27.12,27.09,73.3,0.2621,48.2,0.86,False,True,True,False,30.52,2026-03-13
VRSN,CROSSOVER_UP,0,🟡 MITTEL,35.9,35.9,0,,238.6,2.77,251.81,228.69,237.3,0.55,57.2,1.9166,39.7,0.61,False,False,False,False,-1.94,2026-03-13
DELL,ABOVE_MA60,99,🟡 MITTEL,33.7,33.7,0,,151.62,5.37,167.9,139.41,125.74,20.58,67.5,1.2795,34.6,0.66,False,False,False,False,32.49,2026-03-13
ED,ABOVE_MA60,99,🟡 MITTEL,33.6,33.6,0,,114.88,1.83,119.08,111.73,105.35,9.05,67.0,-0.1197,20.0,0.48,True,False,True,True,8.58,2026-03-13
VTR,ABOVE_MA60,99,🟡 MITTEL,33.2,33.2,0,,86.56,1.78,89.64,84.25,80.87,7.04,63.6,-0.2955,29.5,1.9,True,False,True,True,11.45,2026-03-13
CRWD,RECENT_CROSS,2,🟡 MITTEL,32.4,32.4,0,,441.78,4.22,479.09,413.8,437.65,0.94,59.5,8.461,38.5,0.42,False,False,False,False,0.08,2026-03-13
FFIV,ABOVE_MA60,99,🟡 MITTEL,31.6,31.6,0,,289.31,3.17,307.67,275.54,272.0,6.36,58.3,0.6076,12.8,0.87,False,True,False,False,4.97,2026-03-13
ATO,ABOVE_MA60,99,🟡 MITTEL,31.5,31.5,0,,188.58,1.65,194.81,183.91,173.03,8.99,72.8,-0.1654,41.1,0.61,False,True,True,True,14.0,2026-03-13
XOM,ABOVE_MA60,99,⬇ SCHWACH,29.8,29.8,0,,156.12,2.61,164.27,150.01,136.88,14.06,64.9,-0.3691,26.1,0.81,False,False,True,False,11.15,2026-03-13
KR,ABOVE_MA60,99,⬇ SCHWACH,29.2,29.2,0,,75.6,2.88,79.95,72.34,65.48,15.46,68.1,0.451,36.4,0.68,False,False,True,False,20.89,2026-03-13
TRGP,ABOVE_MA60,99,⬇ SCHWACH,29.1,29.1,0,,240.05,2.93,254.11,229.5,204.72,17.25,68.3,-1.3204,38.5,0.39,False,False,True,False,19.44,2026-03-13
